0_fmes,0_acc,0_rec,0_jacc,0_tp,0_fp,0_tn,0_fn,1_fmes,1_acc,1_rec,1_jacc,1_tp,1_fp,1_tn,1_fn
0.9985151653784723,0.99704,0.9976503797082622,0.9970347336870281,248816,154,444,586,0.5454545454545454,0.99704,0.7424749163879598,0.375,444,586,248816,154
0.9886963662492301,0.977976,0.9822675651861763,0.977645420478029,240797,1159,3697,4347,0.5731782945736434,0.977976,0.761326194398682,0.4017168314679996,3697,4347,240797,1159
0.9911385392796765,0.98266,0.985644123889056,0.9824327500547076,242431,804,3234,3531,0.5987225770619272,0.98266,0.8008915304606241,0.4272691240586603,3234,3531,242431,804
0.9931726784968897,0.986588,0.9893030123560957,0.9864379494729689,243881,716,2766,2637,0.6226223972988182,0.986588,0.7943710511200459,0.452034646184017,2766,2637,243881,716
0.989087424449448,0.9785,0.9821898752041289,0.9784104465322156,243588,958,1037,4417,0.2784266344475768,0.9785,0.5197994987468672,0.1617280099812851,1037,4417,243588,958
0.9717216768814615,0.947604,0.9469430173897311,0.9449986983431168,225059,489,11842,12610,0.643884403121007,0.947604,0.9603438488362663,0.4748005292490277,11842,12610,225059,489
0.9889782919299471,0.978308,0.9782204889031842,0.9781968913583622,243303,6,1274,5417,0.31965876301593277,0.978308,0.9953125,0.190234433328356,1274,5417,243303,6
0.9904977199842208,0.981404,0.9848313031178745,0.981174326786799,242301,917,3050,3732,0.5674946506651782,0.981404,0.7688429543735821,0.3961553448499805,3050,3732,242301,917
0.9915704498683456,0.983468,0.9855142384535548,0.983281826419002,243083,560,2784,3573,0.573961447273477,0.983468,0.8325358851674641,0.40248662715049877,2784,3573,243083,560
0.9821618748892803,0.965764,0.9686819104939033,0.96494899400869,235628,941,5813,7618,0.5759722566262075,0.965764,0.8606751554634291,0.4044670192040078,5813,7618,235628,941
0.994752606988288,0.989636,0.9897354676467743,0.9895599967765332,245589,44,1820,2547,0.5841758947199486,0.989636,0.9763948497854077,0.4126048515075946,1820,2547,245589,44
0.9979064562962725,0.995824,0.9965595273856013,0.9958216601296727,248816,185,140,859,0.2114803625377644,0.995824,0.4307692307692308,0.11824324324324324,140,859,248816,185
