0_fmes,0_acc,0_rec,0_jacc,0_tp,0_fp,0_tn,0_fn,1_fmes,1_acc,1_rec,1_jacc,1_tp,1_fp,1_tn,1_fn
0.9913420634193855,0.98336,0.9868441225340499,0.9828327597164104,238162,985,7678,3175,0.7868415658946505,0.98336,0.8862980491746508,0.6485892887312046,7678,3175,238162,985
0.9959216883198367,0.99194,0.9968316093560712,0.9918765067769688,246031,1233,1954,782,0.6598007766334628,0.99194,0.6131157828679008,0.4923154446963971,1954,782,246031,1233
0.9968931289178782,0.993884,0.9970937085904283,0.993805503338303,245303,814,3168,715,0.8055944055944055,0.993884,0.7955801104972375,0.6744730679156908,3168,715,245303,814
0.9987548800668348,0.99752,0.9980653758468998,0.9975128569250888,248662,138,718,482,0.698443579766537,0.99752,0.8387850467289719,0.5366218236173393,718,482,248662,138
0.9953080659658052,0.990708,0.9983427876823339,0.9906599548075299,246391,1914,1286,409,0.5254341164453524,0.990708,0.401875,0.35633139373787753,1286,409,246391,1914
0.9967028571197679,0.993472,0.9979892219057483,0.9934273850899908,246671,1135,1697,497,0.6752884998010346,0.993472,0.599223163841808,0.5097626914989486,1697,497,246671,1135
0.9922533461725616,0.984908,0.9927160235157819,0.9846257910199624,241638,2000,4589,1773,0.7086711450853216,0.984908,0.6964638033085445,0.5487921549868453,4589,1773,241638,2000
0.9974235695969107,0.994892,0.9973652143739056,0.9948603810643076,247185,624,1538,653,0.7066390994716287,0.994892,0.7113783533765032,0.5463587921847247,1538,653,247185,624
0.999273696164233,0.998552,0.999385983570044,0.9985484465972702,249026,209,612,153,0.7717528373266077,0.998552,0.7454323995127893,0.6283367556468172,612,153,249026,209
0.9977081217300349,0.99546,0.9967721891819921,0.9954267248500087,247046,335,1819,800,0.762204064529646,0.99546,0.8444753946146704,0.6157752200406229,1819,800,247046,335
0.990730191289316,0.982068,0.9928509262712918,0.9816306628204288,239565,2758,5952,1725,0.7264294867883078,0.982068,0.6833524684270953,0.570388116914231,5952,1725,239565,2758
0.9898722207454094,0.980036,0.9852160635951625,0.9799475284957231,243906,1331,1103,3660,0.3065166041406141,0.980036,0.4531635168447001,0.18099770265835247,1103,3660,243906,1331
0.9975726692199186,0.995168,0.9978132675169733,0.9951570937751817,248229,664,563,544,0.48243359040274203,0.995168,0.4588427057864711,0.3178994918125353,563,544,248229,664
0.9974984139221497,0.995016,0.9998229112584167,0.9950093124787215,248419,1202,335,44,0.34968684759916496,0.995016,0.21795705920624595,0.21189120809614168,335,44,248419,1202
0.9983401322267548,0.996696,0.997330035693207,0.9966857656443097,248402,161,772,665,0.6514767932489451,0.996696,0.827438370846731,0.4831038798498123,772,665,248402,161
0.9982676099463362,0.99656,0.9973273870378271,0.996541211862839,247782,196,1358,664,0.7595078299776286,0.99656,0.8738738738738738,0.612263300270514,1358,664,247782,196
0.9963162990069229,0.99274,0.9951024909185262,0.9926596377136895,245448,607,2737,1208,0.7509946494718069,0.99274,0.8184808612440191,0.601274165202109,2737,1208,245448,607
0.9858735024858418,0.9732,0.9880651009859815,0.9721405612637374,233793,3876,9507,2824,0.7394415493505483,0.9732,0.7103788388253754,0.5865983834145739,9507,2824,233793,3876
0.9979593890241694,0.995944,0.9972128490474218,0.9959270892746684,247948,321,1038,693,0.6718446601941748,0.995944,0.7637969094922737,0.5058479532163743,1038,693,247948,321
0.9989403830244954,0.997884,0.9995189879506482,0.9978830092483282,249354,409,117,120,0.30668414154652685,0.997884,0.2224334600760456,0.18111455108359134,117,120,249354,409
0.9967068626093447,0.993436,0.9998228506550499,0.9934353435343535,248334,1597,25,44,0.029568302779420456,0.993436,0.015413070283600493,0.015006002400960384,25,44,248334,1597
0.9935397971309647,0.98754,0.9890783263619058,0.9871625269422087,239534,470,7351,2645,0.8251669753606107,0.98754,0.9399053829433577,0.702369577680107,7351,2645,239534,470
0.9990522166258509,0.998116,0.9985559014955873,0.9981062281371879,248239,112,1290,359,0.8456243854473943,0.998116,0.920114122681883,0.7325383304940375,1290,359,248239,112
0.9983450416763257,0.996716,0.998612768977643,0.9966955520762478,247632,477,1547,344,0.7902937420178799,0.996716,0.7643280632411067,0.653293918918919,1547,344,247632,477
0.9911964549483013,0.982716,0.9827053362581959,0.9825465620241303,243252,40,2427,4281,0.5290463215258856,0.982716,0.983785974868261,0.3596621221102549,2427,4281,243252,40
0.9940302481082133,0.98834,0.9894083689377385,0.9881313491174853,242690,317,4395,2598,0.7509611277231952,0.98834,0.9327249575551783,0.6012311901504788,4395,2598,242690,317
0.9971014492753624,0.99426,0.9943438184865283,0.9942196531791907,246820,31,1745,1404,0.7086294416243654,0.99426,0.982545045045045,0.5487421383647799,1745,1404,246820,31
0.9972106786540109,0.99448,0.9969688641727829,0.9944368746523047,246682,630,1938,750,0.7374429223744293,0.99448,0.7546728971962616,0.5840867992766727,1938,750,246682,630
0.9952447597575191,0.990568,0.9960281260343422,0.9905345300984281,246758,1374,884,984,0.4285021812893844,0.990568,0.39149689991142606,0.27267119062307216,884,984,246758,1374
0.9967243686873761,0.99348,0.9944900267077308,0.9934701268317696,247992,256,378,1374,0.316848281642917,0.99348,0.5962145110410094,0.18824701195219123,378,1374,247992,256
0.9975521136790315,0.99516,0.9966327108092813,0.9951161823883886,246547,377,2243,833,0.7875702247191012,0.99516,0.8561068702290077,0.6495800752968434,2243,833,246547,377
0.994791041160749,0.989764,0.9919984086129763,0.9896360676186851,244355,588,3086,1971,0.7069064253808268,0.989764,0.8399564507348939,0.5466784765279008,3086,1971,244355,588
