0_fmes,0_acc,0_rec,0_jacc,0_tp,0_fp,0_tn,0_fn,1_fmes,1_acc,1_rec,1_jacc,1_tp,1_fp,1_tn,1_fn
0.9949426803593009,0.98994,0.9999878736433638,0.989936256287339,247392,2512,93,3,0.06886338393187708,0.98994,0.03570057581573896,0.03565950920245399,93,3,247392,2512
0.9837623746255048,0.968088,0.9999172510809078,0.9680436445786752,241675,7958,347,20,0.08002767527675277,0.968088,0.04178205900060205,0.04168168168168168,347,20,241675,7958
0.9958870503669753,0.991852,0.9969962442946834,0.9918077948610703,246614,1294,1349,743,0.5697993664202746,0.991852,0.5104048429814605,0.3984051978735972,1349,743,246614,1294
0.9987123440744798,0.997428,0.9996712623126296,0.997428,249357,561,0,82,0.0,0.997428,0.0,0.0,0,82,249357,561
0.9841176868143009,0.96898,0.9982674018090486,0.9687319820818734,240262,7338,1983,417,0.3383670335295623,0.96898,0.21274541358223367,0.20363524337646333,1983,417,240262,7338
0.9971350384001155,0.994288,0.9999557370782448,0.9942864459132884,248504,1417,68,11,0.08695652173913043,0.994288,0.04579124579124579,0.045454545454545456,68,11,248504,1417
0.9936738934347015,0.987432,0.9982322149497173,0.9874273229641427,246765,2705,93,437,0.05588942307692308,0.987432,0.03323802716225876,0.02874806800618238,93,437,246765,2705
0.9890285290818289,0.978444,0.9995473381425226,0.9782951918352223,242897,5279,1714,110,0.3887943745037995,0.978444,0.2451022451022451,0.24130649021540193,1714,110,242897,5279
0.9958507058627133,0.991748,0.9997334744034471,0.9917357027256558,247565,1997,372,66,0.2650516565728536,0.991748,0.1570282819755171,0.15277207392197126,372,66,247565,1997
0.963492317841379,0.929828,0.940626968163995,0.9295563693602531,231493,2931,964,14612,0.09901905397771044,0.929828,0.24749679075738126,0.05208839898416815,964,14612,231493,2931
0.9938516754639567,0.987844,0.9971379391538043,0.9877784927209845,245621,2334,1340,705,0.46861339394999124,0.987844,0.3647250952640174,0.3060059374286367,1340,705,245621,2334
0.9932203734385006,0.98666,0.9986468864079535,0.9865320545179203,244290,3004,2375,331,0.5875077303648732,0.98666,0.4415318832496747,0.4159369527145359,2375,331,244290,3004
0.9978815215365282,0.995772,0.999466026433699,0.995772,248943,924,0,133,0.0,0.995772,0.0,0.0,0,133,248943,924
0.9951828717170355,0.990428,0.9983239298392992,0.9904119303953426,247188,1978,419,415,0.2593624264933457,0.990428,0.17480183562786816,0.14900426742532005,419,415,247188,1978
0.9960025170830878,0.992072,0.9993038889136215,0.9920368666556849,246915,1810,1103,172,0.5267430754536772,0.992072,0.3786474424991418,0.35753646677471634,1103,172,246915,1810
0.9963968774275912,0.99282,0.9971795222062404,0.9928196266205843,248192,1093,13,702,0.014277869302581,0.99282,0.011754068716094032,0.007190265486725664,13,702,248192,1093
0.996788141819598,0.9936,0.9980062145007698,0.9935968496500278,248277,1104,123,496,0.13326110509209102,0.9936,0.10024449877750612,0.0713871154962275,123,496,248277,1104
0.9857449843651395,0.9719,0.9771573399847125,0.971890667701677,242892,1347,83,5678,0.023084411069392297,0.9719,0.05804195804195804,0.011676983680360157,83,5678,242892,1347
0.999579712523366,0.99916,1.0,0.9991597781814399,249724,210,66,0,0.3859649122807018,0.99916,0.2391304347826087,0.2391304347826087,66,0,249724,210
0.9964332810803326,0.992892,0.9945109980367803,0.9928919147029764,248220,407,3,1370,0.0033651149747616375,0.992892,0.007317073170731708,0.0016853932584269663,3,1370,248220,407
0.9903672815339513,0.980956,0.9985231000212151,0.9809183710276665,244746,4399,493,362,0.1715677744910388,0.980956,0.10077677841373671,0.09383326988960791,493,362,244746,4399
0.993672512560882,0.987492,0.9986699747823965,0.9874245958336685,245533,2800,1340,327,0.4615119683141037,0.987492,0.32367149758454106,0.29997761361092457,1340,327,245533,2800
0.9901015022330492,0.980496,0.9991273174229233,0.980397044279523,243862,4663,1262,213,0.3410810810810811,0.980496,0.2129957805907173,0.20560443141088303,1262,213,243862,4663
0.9867270449634528,0.973808,0.999995891435286,0.973801817228866,243393,6547,59,1,0.0177017701770177,0.973808,0.00893127459884953,0.00892992280914182,59,1,243393,6547
0.9973045605549953,0.994632,0.9969040993579319,0.9946236128360242,248268,571,390,771,0.3675777568331762,0.994632,0.40582726326742974,0.2251732101616628,390,771,248268,571
0.9918850680412039,0.983904,0.999378248448669,0.9839007801560312,245926,3871,50,153,0.02424830261881668,0.983904,0.012751849018107626,0.012272950417280314,50,153,245926,3871
0.9946751049589719,0.989412,0.994989354894535,0.9894066185622297,247226,1402,127,1245,0.08755601516718374,0.989412,0.08306082406801832,0.04578226387887527,127,1245,247226,1402
0.9952889808112145,0.990652,0.999065148240779,0.9906221408966148,246867,2106,796,231,0.40519216085517945,0.990652,0.2742935906271537,0.25406958187041173,796,231,246867,2106
0.997332274266275,0.99468,0.9998431530263423,0.9946787441836273,248611,1291,59,39,0.08149171270718232,0.99468,0.0437037037037037,0.042476601871850254,59,39,248611,1291
0.9869778523366509,0.974508,0.9971470213003142,0.9742904976097787,241512,5682,2115,691,0.3989436951806093,0.974508,0.2712581762216237,0.24917530631479737,2115,691,241512,5682
0.9921246368899445,0.984536,0.9916842456771924,0.9843723472200888,243516,1824,2618,2042,0.5752581850142826,0.984536,0.5893741557856821,0.4037631091918569,2618,2042,243516,1824
0.9945375200944817,0.98914,0.999967632826787,0.9891343933469671,247156,2707,129,8,0.08678102926337034,0.98914,0.04548660084626234,0.04535864978902954,129,8,247156,2707
